종목명,상장유형,공모가,상장일,상장주식수,매출총이익률,영업이익률,ROE,유동비율,당좌비율,부채비율,이자보상배율,매출채권회전율,재고자산회전율,매출액증가율,영업이익증가율,IPO_PER,IPO_PBR,IPO_EV/EBITDA,1개월 평균 거래량회전율,1개월 평균 일중변동률,1개월 평균 개인 매도수량 비중,1개월 평균 개인 매수수량 비중,1개월 시가총액회전율,1개월 후PER,1개월 후PBR,1개월 후EV/EBITDA,3개월 평균 거래량회전율,3개월 평균 일중변동률,3개월 평균 개인 매도수량 비중,3개월 평균 개인 매수수량 비중,3개월 시가총액회전율,3개월 후PER,3개월 후PBR,3개월 후EV/EBITDA,1개월 시장 회전율,시장수익률,광의통화 증감률,고객예탁금 증감률,3개월 시장 회전율,시장수익률_3_6,광의통화 증감률_3_6,고객예탁금 증감률_3_6,공모가 대비 1개월 수익률,공모가 대비 3개월 수익률,공모가 대비 6개월 수익률,1_3_수익률,3_6_수익률,Cat
코오롱생명과학,신규상장,23500.0,2009-04-07,3420000,0.26503894899999997,0.11633796199999999,0.312493146,1.521216174,0.790164089,1.267153798,10.07854764,13.037398199999998,4.458561454,0.222942325,0.9649145840000001,10.59105102,3.3096308530000003,8.426985907,0.15173913043478263,8.326521739130433,84.24608695652174,95.35000000000001,384.44652546979734,26.54,8.29,28.34,0.08212121212121205,6.581212121212121,89.05257575757578,93.38560606060607,606.9986254056738,23.69,7.4,25.32,125.33670589699541,-0.44170616113744077,0.10112937543007812,-0.0028113525091799266,318.7071706544436,-0.010098258585465618,0.013420020125374348,-0.13840483463939435,1.851063829787234,1.5446808510638297,0.9531914893617022,-0.10746268656716418,-0.23244147157190637,5
뷰웍스,신규상장,9000.0,2009-04-10,6047910,0.588840251,0.295151347,0.306970248,6.590178012000001,4.291268083,0.116097743,inf,6.458550549,3.962961197,0.272505653,0.22886369,8.81224738,2.705097763,7.694457127000001,0.11714285714285712,10.164761904761908,83.80571428571429,98.36476190476189,259.02487085271866,14.67,4.5,14.65,0.059848484848484755,7.620454545454546,93.02166666666666,98.23393939393938,459.68669265575465,10.29,3.16,10.04,122.66636991780456,-0.42097199240056377,0.10112937543007812,-0.051091301457800276,314.81582386626997,-0.04356642141243276,0.013420020125374348,-0.1296445035401157,1.011111111111111,0.4111111111111111,0.5888888888888889,-0.2983425414364641,0.12598425196850394,5
에스앤에스텍,신규상장,4000.0,2009-04-14,10915980,0.274725086,0.14774210699999998,0.128666546,1.772446461,1.409949115,0.931423585,4.224838753,4.3260923469999994,8.318568133,0.347533593,0.53917424,11.32482898,1.45712663,4.38134166,0.1295652173913043,10.889565217391302,86.11347826086956,98.8078260869565,342.4328977142162,18.47,2.38,9.84,0.07424242424242414,8.195454545454545,89.25303030303031,98.61333333333333,554.0221112547388,15.0,1.93,8.71,119.79514630398023,-0.3927429293480804,0.10112937543007812,0.049892352335486286,307.7517888264037,-0.11276500614776999,0.013420020125374348,-0.12315126665690437,0.425,0.1575,0.3875,-0.18771929824561404,0.19870410367170627,5
에이테크솔루션,신규상장,5400.0,2009-04-17,10000000,0.142112329,0.07057454099999999,0.378316893,0.850896063,0.270432199,2.7236702680000002,10.46165931,11.08680718,4.05256838,0.14414168900000002,0.8687101,6.829341583,2.583655289,4.703348548,0.0923809523809524,10.182857142857141,90.59571428571428,97.13523809523811,201.9451075009632,11.53,4.38,9.62,0.04772727272727267,7.536969696969699,94.15545454545453,96.77818181818182,341.34302116652907,9.86,3.74,8.4,118.72113576221719,-0.3848815461346633,0.10112937543007812,0.10298980835057726,299.7051294878786,-0.10610074695514583,0.013420020125374348,-0.17121342798381212,0.7833333333333333,0.524074074074074,2.037037037037037,-0.14537902388369678,0.9927095990279465,5
엔에스브이,신규상장,4300.0,2009-04-17,8450000,0.29037161899999997,0.172593227,0.229065433,1.294780977,0.612895127,1.410723841,8.921393338,3.751355587,3.024717916,0.071950449,0.220514065,14.4147611,3.301923485,6.625795451,0.15666666666666665,9.766190476190477,94.47142857142858,96.3742857142857,339.3405661487111,16.57,3.79,12.56,0.08893939393939383,8.81530303030303,91.66924242424243,90.30030303030306,569.6624853566998,17.93,4.11,13.46,118.72113576221719,-0.3848815461346633,0.10112937543007812,0.10298980835057726,299.7051294878786,-0.10610074695514583,0.013420020125374348,-0.17121342798381212,0.641860465116279,0.7767441860465116,0.813953488372093,0.0821529745042493,0.020942408376963352,5
에스티오,신규상장,5000.0,2009-04-17,4998801,0.6917252079999999,0.111435878,0.252757975,1.922324119,0.483259414,1.078552964,15.86825504,17.34611531,3.304594682,0.320880798,-0.10447720699999999,4.881882835,1.23393482,2.705915664,0.06952380952380954,8.69190476190476,95.26857142857142,98.63047619047617,167.06391839351963,4.8,1.21,4.13,0.0284848484848485,6.502121212121211,97.30439393939395,97.01121212121211,240.12538330788763,3.56,0.9,3.26,118.72113576221719,-0.3848815461346633,0.10112937543007812,0.10298980835057726,299.7051294878786,-0.10610074695514583,0.013420020125374348,-0.17121342798381212,0.196,-0.114,-0.198,-0.2591973244147157,-0.09480812641083522,4
티플랙스,신규상장,3000.0,2009-04-23,5753000,0.125885787,0.092773182,0.174179097,2.281101154,1.1709173940000002,1.1488930640000001,4.979008229,6.509284196,4.89297447,0.09197789599999999,0.026525945,4.839918687,0.8430126659999999,2.95145775,0.08000000000000003,7.175454545454546,94.21227272727275,97.38818181818182,193.2237926489048,7.16,1.26,8.27,0.0419696969696969,6.279393939393941,95.92924242424242,97.4748484848485,302.75297438216995,6.91,1.22,8.08,121.97632613464673,-0.37107333866109293,0.10112937543007812,0.06571159658998353,291.95516084428004,-0.10142756591889412,0.013420020125374348,-0.09429903661391761,0.8,0.7366666666666667,0.46166666666666667,-0.03518518518518519,-0.15834932821497122,5
네프로아이티,신규상장,4500.0,2009-04-24,3400000,0.728706229,0.180836122,0.127141552,0.989672305,0.9229437220000001,1.743850415,13.90034638,2.218900699,25.54745811,1.162867139,1.225149491,9.673509568,1.22990502,1.4778205130000002,0.1328571428571428,10.879523809523812,94.14666666666668,98.63952380952382,304.6863851280252,21.04,2.67,5.77,0.052424242424242345,8.16242424242424,96.29787878787883,97.82878787878786,396.39002433187136,19.05,2.42,5.38,122.59116485838926,-0.36437059757394535,0.10112937543007812,0.07724876249809787,290.4737775317774,-0.09758342507534885,0.013420020125374348,-0.0936825744509224,1.8222222222222222,1.5555555555555556,0.03111111111111111,-0.09448818897637795,-0.5965217391304348,5
우림피티에스,신규상장,10000.0,2009-04-28,8687300,0.317355838,0.262267063,0.385465811,1.3059856109999999,0.9564275959999999,0.634813301,60.6051024,4.097944148,9.104855981,0.7117077340000001,0.831805763,7.918851484,3.052446507,5.4574310310000005,0.09347826086956525,10.733478260869566,93.82608695652173,92.94478260869563,221.3839544404782,10.91,4.27,10.04,0.060151515151515136,8.924545454545454,89.08181818181822,92.7592424242424,414.72375084325154,8.42,3.29,7.78,122.83058424797638,-0.34953675108091414,0.10112937543007812,0.12211920058372337,285.24490361796364,-0.03252672180537696,0.013420020125374348,-0.032210534932263744,0.75,0.35,-0.003,-0.22857142857142856,-0.2614814814814815,5
신텍,신규상장,12500.0,2009-04-30,5450217,0.18836014199999998,0.147335149,0.181350722,1.070210473,0.978136475,2.347741573,11.16674113,2.216169651,19.54592176,0.659928885,1.2871409,16.83844596,3.0536643389999996,5.343767928,0.10045454545454549,11.40181818181818,87.86863636363636,91.92772727272727,227.96146223755864,43.65,7.92,17.12,0.05499999999999998,8.538181818181819,87.99227272727272,91.88303030303025,360.07038760760895,30.65,5.56,14.48,121.02617225019611,-0.363219065871225,0.08846745743298162,0.1796811917657839,282.6400284123481,-0.04897881996974277,0.013420020125374348,-0.01048022346828823,1.928,1.056,1.048,-0.2978142076502732,-0.0038910505836575876,5
